level,file_name,time,number_of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance
L5,2023-4-L5-1.wav,0.36670994758605957,128.0,1.0,4.0,4.0,29.0,29.4,1.0
L5,2023-4-L5-2.wav,0.665247917175293,248.0,5.0,5.0,5.0,50.1,52.1,1.0
L2,2024-2-L2-1.wav,0.4015164375305176,136.0,10.0,4.0,5.0,28.1,32.7,0.9
L2,2024-2-L2-2.wav,0.3148205280303955,92.0,6.0,4.0,5.0,18.9,22.0,0.9
L2,2024-2-L2-3.wav,0.6867632865905762,162.0,19.0,3.0,5.0,34.7,49.9,0.7
L3,2024-2-L3--.wav,0.8663637638092041,266.0,23.0,4.0,5.0,55.1,70.8,0.8
L3,2024-2-L3-.wav,0.6986575126647949,196.0,21.0,3.0,4.0,44.2,58.9,0.7
L3,2024-2-L3-1.wav,0.3854646682739258,114.0,5.0,5.0,5.0,21.8,24.2,0.9
L3,2024-2-L3-2.wav,0.3159599304199219,114.0,5.0,5.0,5.0,21.8,24.2,0.9
L3,2024-2-L3-3.wav,0.38039159774780273,143.0,6.0,4.0,5.0,29.5,32.4,0.9
L3,2024-2-L3-4.wav,0.46871399879455566,159.0,14.0,4.0,5.0,31.7,38.3,0.8
L3,2024-2-L3-5.wav,0.48647117614746094,189.0,5.0,4.0,5.0,39.3,42.3,0.9
L3,2024-2-L3-6.wav,0.3155698776245117,106.0,4.0,5.0,5.0,20.6,22.1,0.9
L4,2024-2-L4-.wav,0.7510907649993896,240.0,16.0,4.0,5.0,52.2,60.1,0.9
L4,2024-2-L4-1.wav,0.8792908191680908,275.0,15.0,5.0,5.0,53.2,59.6,0.9
L4,2024-2-L4-2.wav,0.8509352207183838,296.0,26.0,4.0,5.0,58.6,70.8,0.8
L4,2024-2-L4-3.wav,0.4323537349700928,150.0,15.0,4.0,5.0,27.7,34.1,0.8
L1,2024-3-L1-.wav,0.7354745864868164,145.0,25.0,2.0,4.0,33.3,61.4,0.5
L1,2024-3-L1-1.wav,0.4462566375732422,124.0,21.0,4.0,5.0,24.2,34.4,0.7
L1,2024-3-L1-2.wav,0.318256139755249,69.0,9.0,3.0,4.0,16.8,23.9,0.7
L3,2024-3-L3-.wav,0.7177906036376953,249.0,18.0,4.0,5.0,49.8,59.0,0.8
L3,2024-3-L3-1.wav,0.6541593074798584,224.0,11.0,5.0,5.0,42.2,48.3,0.9
L3,2024-3-L3-2.wav,0.647885799407959,208.0,10.0,5.0,5.0,41.7,46.2,0.9
L3,2024-3-L3-3.wav,0.45316410064697266,172.0,7.0,4.0,5.0,34.8,38.3,0.9
L4,2024-3-L4-.wav,0.7133111953735352,243.0,16.0,4.0,5.0,49.4,57.8,0.9
L4,2024-3-L4-1.wav,0.585737943649292,186.0,14.0,4.0,5.0,38.9,44.9,0.9
L4,2024-3-L4-2.wav,0.700488805770874,251.0,16.0,4.0,5.0,50.3,56.9,0.9
L4,2024-3-L4-3.wav,0.7658734321594238,271.0,16.0,4.0,5.0,54.4,62.9,0.9
L5,2024-3-L5-.wav,0.7124414443969727,265.0,9.0,5.0,5.0,51.6,56.7,0.9
L5,2024-3-L5-1.wav,0.47217798233032227,189.0,8.0,5.0,5.0,37.5,40.4,0.9
L5,2024-3-L5-2.wav,0.6781392097473145,238.0,13.0,4.0,5.0,48.4,53.4,0.9
L5,2024-3-L5-3.wav,0.33226490020751953,113.0,4.0,5.0,5.0,21.9,23.8,0.9
L2,2024-4-L2-.wav,0.7566072940826416,274.0,0.0,4.0,5.0,60.4,63.4,1.0
L4,2024-4-L4-.wav,0.6974849700927734,272.0,1.0,5.0,5.0,57.4,58.2,1.0
L4,2024-4-L4-2.wav,0.7970831394195557,306.0,6.0,5.0,5.0,63.9,66.5,1.0
L4,2024-4-L4-3.wav,0.7018842697143555,208.0,4.0,4.0,5.0,45.4,46.7,1.0
L5,2024-4-L5--.wav,0.7192056179046631,264.0,13.0,4.0,5.0,51.6,58.8,0.9
L5,2024-4-L5-.wav,0.733208179473877,278.0,1.0,5.0,5.0,59.9,60.2,1.0
L5,2024-4-L5-2.wav,0.4137003421783447,154.0,3.0,5.0,5.0,31.4,33.4,0.9
L5,2024-4-L5-4.wav,0.6340146064758301,224.0,3.0,5.0,5.0,46.8,47.9,1.0
L5,2024-4-L5-5.wav,0.7640271186828613,286.0,3.0,5.0,5.0,61.0,62.5,1.0
L5,2024-4-L5-6.wav,0.7661287784576416,295.0,11.0,5.0,5.0,58.2,63.0,0.9
